ROI,spike_time_s,latency_s,stim_window_start_s,stim_window_end_s,condition
ROI.22 [],142.777,12.776999999999989,130,150,20s7
ROI.22 [],151.277,21.276999999999987,130,150,20s7
ROI.22 [],165.777,35.77699999999999,130,150,20s7
ROI.22 [],179.777,49.77699999999999,130,150,20s7
ROI.F [],61.788,31.788,30,50,20s8
ROI.F [],72.777,42.777,30,50,20s8
ROI.F [],124.286,44.286,80,100,20s8
ROI.F [],156.286,26.286,130,150,20s8
ROI.B [],97.278,17.278000000000006,80,100,20s8
ROI.B [],121.777,41.777,80,100,20s8
ROI.B [],172.278,42.27799999999999,130,150,20s8
ROI.10 [],69.278,39.278000000000006,30,50,20s8
ROI.12 [],77.277,47.277,30,50,20s8
ROI.14 [],76.277,46.277,30,50,20s8
ROI.14 [],81.778,1.7780000000000058,80,100,20s8
ROI.18 [],69.78,39.78,30,50,20s8
ROI.18 [],75.279,45.279,30,50,20s8
ROI.22 [],48.278,18.278,30,50,20s8
ROI.22 [],127.276,47.276,80,100,20s8
ROI.E [],103.277,23.277,80,100,2hz1
ROI.E [],147.278,17.27799999999999,130,150,2hz1
ROI.E [],156.788,26.78800000000001,130,150,2hz1
ROI.F [],70.795,40.795,30,50,2hz1
ROI.F [],113.788,33.788,80,100,2hz1
ROI.F [],133.279,3.2789999999999964,130,150,2hz1
ROI.D [],105.285,25.285,80,100,2hz1
ROI.09 [],155.278,25.27799999999999,130,150,2hz1
ROI.10 [],156.276,26.27600000000001,130,150,2hz1
ROI.11 [],156.788,26.78800000000001,130,150,2hz1
ROI.12 [],160.788,30.78800000000001,130,150,2hz1
ROI.13 [],157.778,27.77799999999999,130,150,2hz1
ROI.14 [],161.777,31.776999999999987,130,150,2hz1
ROI.16 [],157.277,27.276999999999987,130,150,2hz1
ROI.19 [],159.279,29.279,130,150,2hz1
ROI.21 [],160.283,30.282999999999987,130,150,2hz1
ROI.22 [],32.277,2.277000000000001,30,50,2hz1
ROI.22 [],39.777,9.777,30,50,2hz1
ROI.22 [],58.278,28.278,30,50,2hz1
ROI.22 [],64.779,34.779,30,50,2hz1
ROI.22 [],71.278,41.278000000000006,30,50,2hz1
ROI.22 [],82.277,2.277000000000001,80,100,2hz1
ROI.22 [],89.279,9.278999999999996,80,100,2hz1
ROI.22 [],98.777,18.777,80,100,2hz1
ROI.22 [],106.777,26.777,80,100,2hz1
ROI.22 [],131.777,1.7769999999999868,130,150,2hz1
ROI.22 [],144.784,14.783999999999992,130,150,2hz1
ROI.22 [],161.777,31.776999999999987,130,150,2hz1
ROI.22 [],166.779,36.779,130,150,2hz1
ROI.22 [],173.788,43.78800000000001,130,150,2hz1
ROI.22 [],184.778,54.77799999999999,130,150,2hz1
ROI.31 [],71.278,41.278000000000006,30,50,2hz1
ROI.31 [],113.277,33.277,80,100,2hz1
ROI.31 [],133.279,3.2789999999999964,130,150,2hz1
ROI.31 [],140.278,10.277999999999992,130,150,2hz1
ROI.31 [],178.278,48.27799999999999,130,150,2hz1
ROI.C [],184.778,54.77799999999999,130,150,2hz2
ROI.F [],80.778,0.7780000000000058,80,100,2hz2
ROI.F [],86.778,6.778000000000006,80,100,2hz2
ROI.F [],168.777,38.77699999999999,130,150,2hz2
ROI.D [],185.779,55.779,130,150,2hz2
ROI.10 [],160.277,30.276999999999987,130,150,2hz2
ROI.22 [],185.779,55.779,130,150,2hz2
ROI.27 [],35.779,5.779000000000004,30,50,2hz2
ROI.27 [],47.778,17.778,30,50,2hz2
ROI.27 [],54.778,24.778,30,50,2hz2
ROI.27 [],72.278,42.278000000000006,30,50,2hz2
ROI.27 [],104.282,24.282,80,100,2hz2
ROI.27 [],129.788,49.78800000000001,80,100,2hz2
ROI.27 [],138.279,8.278999999999996,130,150,2hz2
ROI.27 [],148.276,18.27600000000001,130,150,2hz2
ROI.27 [],156.778,26.77799999999999,130,150,2hz2
ROI.27 [],174.785,44.785,130,150,2hz2
ROI.27 [],185.277,55.27699999999999,130,150,2hz2
ROI.31 [],80.778,0.7780000000000058,80,100,2hz2
ROI.31 [],168.777,38.77699999999999,130,150,2hz2
ROI.F [],113.283,33.283,80,100,2hz3
ROI.09 [],164.278,34.27799999999999,130,150,2hz3
ROI.31 [],113.283,33.283,80,100,2hz3
ROI.E [],58.277,28.277,30,50,2hz4
ROI.C [],155.788,25.78800000000001,130,150,2hz4
ROI.D [],97.78,17.78,80,100,2hz4
ROI.22 [],97.78,17.78,80,100,2hz4
ROI.27 [],132.277,2.276999999999987,130,150,2hz4
ROI.D [],78.278,48.278000000000006,30,50,2hz5
ROI.D [],110.295,30.295,80,100,2hz5
ROI.22 [],78.278,48.278000000000006,30,50,2hz5
ROI.22 [],110.295,30.295,80,100,2hz5
ROI.31 [],47.779,17.779000000000003,30,50,2hz5
ROI.31 [],77.789,47.789,30,50,2hz5
ROI.31 [],173.288,43.28800000000001,130,150,2hz5
ROI.31 [],179.779,49.779,130,150,2hz5
ROI.F [],96.779,16.778999999999996,80,100,2hz6
ROI.F [],187.777,57.77699999999999,130,150,2hz6
ROI.16 [],32.278,2.2779999999999987,30,50,2hz6
ROI.16 [],46.277,16.277,30,50,2hz6
ROI.16 [],57.784,27.784,30,50,2hz6
ROI.16 [],65.777,35.777,30,50,2hz6
ROI.16 [],83.777,3.777000000000001,80,100,2hz6
ROI.16 [],93.278,13.278000000000006,80,100,2hz6
ROI.16 [],115.276,35.276,80,100,2hz6
ROI.16 [],123.778,43.778000000000006,80,100,2hz6
ROI.16 [],146.278,16.27799999999999,130,150,2hz6
ROI.16 [],152.777,22.776999999999987,130,150,2hz6
ROI.16 [],162.776,32.77600000000001,130,150,2hz6
ROI.16 [],170.781,40.781000000000006,130,150,2hz6
ROI.20 [],37.778,7.777999999999999,30,50,2hz6
ROI.20 [],46.277,16.277,30,50,2hz6
ROI.20 [],53.778,23.778,30,50,2hz6
ROI.20 [],65.777,35.777,30,50,2hz6
ROI.20 [],75.278,45.278000000000006,30,50,2hz6
ROI.20 [],84.777,4.777000000000001,80,100,2hz6
ROI.20 [],91.276,11.275999999999996,80,100,2hz6
ROI.20 [],99.289,19.289,80,100,2hz6
ROI.20 [],108.777,28.777,80,100,2hz6
ROI.20 [],122.777,42.777,80,100,2hz6
ROI.20 [],128.777,48.77699999999999,80,100,2hz6
ROI.20 [],134.779,4.778999999999996,130,150,2hz6
ROI.20 [],139.777,9.776999999999989,130,150,2hz6
ROI.20 [],152.777,22.776999999999987,130,150,2hz6
ROI.20 [],159.288,29.28800000000001,130,150,2hz6
ROI.20 [],173.777,43.77699999999999,130,150,2hz6
ROI.20 [],180.277,50.27699999999999,130,150,2hz6
ROI.20 [],187.777,57.77699999999999,130,150,2hz6
ROI.27 [],67.277,37.277,30,50,2hz6
ROI.27 [],71.777,41.777,30,50,2hz6
ROI.27 [],76.785,46.785,30,50,2hz6
ROI.27 [],114.797,34.797,80,100,2hz6
ROI.27 [],133.277,3.276999999999987,130,150,2hz6
ROI.27 [],164.277,34.27699999999999,130,150,2hz6
ROI.30 [],43.777,13.777,30,50,2hz6
ROI.30 [],113.779,33.779,80,100,2hz6
ROI.31 [],96.779,16.778999999999996,80,100,2hz6
ROI.31 [],162.776,32.77600000000001,130,150,2hz6
ROI.31 [],187.777,57.77699999999999,130,150,2hz6
ROI.04 [],145.278,15.277999999999992,130,150,2mw1
ROI.C [],103.779,23.779,80,100,2mw2
ROI.A [],105.277,25.277,80,100,2mw2
ROI.B [],105.777,25.777,80,100,2mw2
ROI.D [],176.787,46.787000000000006,130,150,2mw2
ROI.01 [],104.789,24.789,80,100,2mw2
ROI.03 [],105.777,25.777,80,100,2mw2
ROI.04 [],99.778,19.77800000000001,80,100,2mw2
ROI.04 [],105.277,25.277,80,100,2mw2
ROI.05 [],105.277,25.277,80,100,2mw2
ROI.06 [],98.284,18.28400000000001,80,100,2mw2
ROI.06 [],105.277,25.277,80,100,2mw2
ROI.19 [],117.284,37.284000000000006,80,100,2mw2
ROI.22 [],43.777,13.777,30,50,2mw2
ROI.22 [],104.789,24.789,80,100,2mw2
ROI.22 [],167.777,37.77699999999999,130,150,2mw2
ROI.22 [],176.787,46.787000000000006,130,150,2mw2
ROI.26 [],102.777,22.777,80,100,2mw2
ROI.27 [],106.78,26.78,80,100,2mw2
ROI.A [],120.279,40.279,80,100,2mw3
ROI.A [],151.289,21.288999999999987,130,150,2mw3
ROI.D [],60.788,30.788,30,50,2mw3
ROI.D [],141.278,11.277999999999992,130,150,2mw3
ROI.D [],185.277,55.27699999999999,130,150,2mw3
ROI.22 [],60.788,30.788,30,50,2mw3
ROI.F [],87.776,7.775999999999996,80,100,5hz1
ROI.F [],93.278,13.278000000000006,80,100,5hz1
ROI.F [],113.779,33.779,80,100,5hz1
ROI.F [],152.777,22.776999999999987,130,150,5hz1
ROI.B [],59.777,29.777,30,50,5hz1
ROI.B [],86.777,6.777000000000001,80,100,5hz1
ROI.B [],108.777,28.777,80,100,5hz1
ROI.B [],131.776,1.7760000000000105,130,150,5hz1
ROI.02 [],88.285,8.284999999999997,80,100,5hz1
ROI.27 [],32.278,2.2779999999999987,30,50,5hz1
ROI.27 [],60.777,30.777,30,50,5hz1
ROI.27 [],65.777,35.777,30,50,5hz1
ROI.27 [],87.776,7.775999999999996,80,100,5hz1
ROI.27 [],101.277,21.277,80,100,5hz1
ROI.27 [],107.276,27.276,80,100,5hz1
ROI.27 [],140.782,10.78200000000001,130,150,5hz1
ROI.27 [],166.278,36.27799999999999,130,150,5hz1
ROI.27 [],184.776,54.77600000000001,130,150,5hz1
ROI.31 [],87.776,7.775999999999996,80,100,5hz1
ROI.31 [],93.278,13.278000000000006,80,100,5hz1
ROI.31 [],113.779,33.779,80,100,5hz1
ROI.31 [],152.777,22.776999999999987,130,150,5hz1
ROI.31 [],183.277,53.27699999999999,130,150,5hz1
ROI.E [],144.295,14.294999999999987,130,150,5hz2
ROI.E [],154.278,24.27799999999999,130,150,5hz2
ROI.F [],68.778,38.778000000000006,30,50,5hz2
ROI.F [],120.278,40.278000000000006,80,100,5hz2
ROI.F [],148.288,18.28800000000001,130,150,5hz2
ROI.F [],167.779,37.779,130,150,5hz2
ROI.09 [],144.295,14.294999999999987,130,150,5hz2
ROI.09 [],152.788,22.78800000000001,130,150,5hz2
ROI.10 [],144.778,14.777999999999992,130,150,5hz2
ROI.10 [],154.278,24.27799999999999,130,150,5hz2
ROI.11 [],142.777,12.776999999999989,130,150,5hz2
ROI.11 [],154.278,24.27799999999999,130,150,5hz2
ROI.12 [],144.295,14.294999999999987,130,150,5hz2
ROI.12 [],154.278,24.27799999999999,130,150,5hz2
ROI.13 [],142.777,12.776999999999989,130,150,5hz2
ROI.13 [],154.278,24.27799999999999,130,150,5hz2
ROI.14 [],142.777,12.776999999999989,130,150,5hz2
ROI.14 [],152.278,22.27799999999999,130,150,5hz2
ROI.16 [],144.778,14.777999999999992,130,150,5hz2
ROI.16 [],154.778,24.77799999999999,130,150,5hz2
ROI.17 [],143.778,13.777999999999992,130,150,5hz2
ROI.17 [],153.278,23.27799999999999,130,150,5hz2
ROI.18 [],33.788,3.7879999999999967,30,50,5hz2
ROI.18 [],142.777,12.776999999999989,130,150,5hz2
ROI.18 [],154.278,24.27799999999999,130,150,5hz2
ROI.19 [],144.295,14.294999999999987,130,150,5hz2
ROI.19 [],153.278,23.27799999999999,130,150,5hz2
ROI.20 [],147.778,17.77799999999999,130,150,5hz2
ROI.20 [],153.278,23.27799999999999,130,150,5hz2
ROI.21 [],144.778,14.777999999999992,130,150,5hz2
ROI.21 [],154.278,24.27799999999999,130,150,5hz2
ROI.31 [],167.779,37.779,130,150,5hz2
ROI.E [],95.777,15.777,80,100,5hz3
ROI.E [],102.78,22.78,80,100,5hz3
ROI.E [],119.278,39.278000000000006,80,100,5hz3
ROI.E [],125.278,45.278000000000006,80,100,5hz3
ROI.D [],58.777,28.777,30,50,5hz3
ROI.01 [],59.778,29.778,30,50,5hz3
ROI.01 [],112.284,32.284000000000006,80,100,5hz3
ROI.01 [],130.278,0.2779999999999916,130,150,5hz3
ROI.01 [],175.778,45.77799999999999,130,150,5hz3
ROI.09 [],119.278,39.278000000000006,80,100,5hz3
ROI.10 [],98.779,18.779,80,100,5hz3
ROI.10 [],119.278,39.278000000000006,80,100,5hz3
ROI.11 [],94.778,14.778000000000006,80,100,5hz3
ROI.11 [],99.778,19.77800000000001,80,100,5hz3
ROI.11 [],119.278,39.278000000000006,80,100,5hz3
ROI.12 [],119.779,39.779,80,100,5hz3
ROI.13 [],99.778,19.77800000000001,80,100,5hz3
ROI.13 [],119.278,39.278000000000006,80,100,5hz3
ROI.14 [],119.779,39.779,80,100,5hz3
ROI.18 [],99.778,19.77800000000001,80,100,5hz3
ROI.18 [],119.278,39.278000000000006,80,100,5hz3
ROI.21 [],98.779,18.779,80,100,5hz3
ROI.21 [],119.278,39.278000000000006,80,100,5hz3
ROI.22 [],58.291,28.291,30,50,5hz3
ROI.C [],155.288,25.28800000000001,130,150,5hz4
ROI.02 [],33.788,3.7879999999999967,30,50,5hz4
ROI.02 [],38.277,8.277000000000001,30,50,5hz4
ROI.02 [],90.777,10.777,80,100,5hz4
ROI.02 [],103.787,23.78700000000001,80,100,5hz4
ROI.20 [],89.278,9.278000000000006,80,100,5hz4
ROI.20 [],153.789,23.788999999999987,130,150,5hz4
ROI.20 [],174.289,44.28899999999999,130,150,5hz4
ROI.20 [],180.779,50.779,130,150,5hz4
ROI.D [],31.778,1.7779999999999987,30,50,5hz6
ROI.26 [],77.777,47.777,30,50,5hz6
ROI.26 [],89.787,9.787000000000006,80,100,5hz6
ROI.26 [],94.778,14.778000000000006,80,100,5hz6
ROI.F [],146.278,46.27799999999999,100,105,5s1
ROI.D [],49.788,19.788,30,35,5s1
ROI.D [],58.278,28.278,30,35,5s1
ROI.D [],114.277,14.277,100,105,5s1
ROI.D [],124.278,24.27800000000001,100,105,5s1
ROI.D [],133.784,33.78399999999999,100,105,5s1
ROI.D [],147.78,47.78,100,105,5s1
ROI.11 [],31.279,1.279,30,35,5s1
ROI.22 [],45.778,15.778,30,35,5s1
ROI.22 [],65.288,0.2879999999999967,65,70,5s1
ROI.22 [],114.277,14.277,100,105,5s1
ROI.22 [],124.278,24.27800000000001,100,105,5s1
ROI.22 [],133.283,33.28299999999999,100,105,5s1
ROI.22 [],147.78,47.78,100,105,5s1
ROI.31 [],37.287,7.286999999999999,30,35,5s1
ROI.31 [],146.278,46.27799999999999,100,105,5s1
