ROI,start_s,end_s,duration_s,peak_to_peak
ROI.02 [],153.788,163.788,10.0,0.027186388504452853
ROI.02 [],154.278,164.278,10.0,0.012758630745876597
ROI.03 [],0.258,10.258,10.0,0.03872161586841769
ROI.03 [],0.778,10.778,10.0,0.03872161586841769
ROI.03 [],1.278,11.278,10.0,0.03872161586841769
ROI.03 [],1.777,11.777,10.0,0.025065877320371736
ROI.03 [],2.286,12.286,10.0,0.027685344455875897
ROI.03 [],2.779,12.779,10.0,0.027685344455875897
ROI.03 [],3.287,13.286999999999999,10.0,0.027685344455875897
ROI.03 [],3.778,13.778,10.0,0.027685344455875897
ROI.03 [],4.295,14.295,10.0,0.027685344455875897
ROI.03 [],4.778,14.777999999999999,10.0,0.027685344455875897
ROI.03 [],5.278,15.277999999999999,10.0,0.03322627156087524
ROI.03 [],5.778,15.777999999999999,10.0,0.03322627156087524
ROI.03 [],6.277,16.277,10.0,0.035923117835765364
ROI.03 [],6.778,16.778,10.0,0.035923117835765364
ROI.03 [],7.278,17.278,10.0,0.035923117835765364
ROI.03 [],7.777,17.777,10.0,0.03962694841707628
ROI.03 [],8.278,18.278,9.999999999999998,0.03962694841707628
ROI.03 [],8.786,18.786,10.000000000000002,0.03339897731646167
ROI.03 [],9.278,19.278,9.999999999999998,0.03339897731646167
ROI.03 [],9.788,19.788,10.0,0.038276308756913915
ROI.03 [],10.279,20.279,10.0,0.038276308756913915
ROI.03 [],10.778,20.778,9.999999999999998,0.038276308756913915
ROI.03 [],11.277,21.277,10.000000000000002,0.038276308756913915
ROI.03 [],11.784,21.784,9.999999999999998,0.038276308756913915
ROI.03 [],12.277,22.277,10.000000000000002,0.033567561321085605
ROI.03 [],12.78,22.78,10.000000000000002,0.033567561321085605
ROI.03 [],13.279,23.279,10.0,0.033567561321085605
ROI.03 [],13.779,23.779,10.0,0.021410760515078717
ROI.03 [],14.284,24.284,9.999999999999998,0.021410760515078717
ROI.03 [],14.784,24.784,9.999999999999998,0.020598016852886727
ROI.03 [],15.285,25.285,10.0,0.020598016852886727
ROI.03 [],15.787,25.787,9.999999999999998,0.020598016852886727
ROI.03 [],16.276,26.276,10.0,0.020598016852886727
ROI.03 [],16.796,26.796,10.0,0.025347629860688944
ROI.03 [],17.279,27.279,10.0,0.025347629860688944
ROI.03 [],17.777,27.777,10.0,0.025347629860688944
ROI.03 [],18.288,28.288,10.0,0.025347629860688944
ROI.03 [],18.778,28.778,10.0,0.025347629860688944
ROI.03 [],19.282,29.282,10.0,0.025347629860688944
ROI.03 [],19.778,29.778,10.0,0.025347629860688944
ROI.03 [],20.279,30.279,10.0,0.025407891200731857
ROI.03 [],20.788,30.788,10.0,0.025407891200731857
ROI.03 [],21.286,31.286,10.0,0.025407891200731857
ROI.03 [],21.778,31.778,10.0,0.025375829999144294
ROI.03 [],22.278,32.278,10.0,0.025375829999144294
ROI.03 [],22.789,32.789,10.0,0.031219221907715082
ROI.03 [],23.279,33.278999999999996,9.999999999999996,0.031219221907715082
ROI.03 [],23.789,33.789,10.0,0.02950764608181643
ROI.03 [],24.278,34.278,10.0,0.02950764608181643
ROI.03 [],24.778,34.778,10.0,0.02950764608181643
